" ","VGCPastes Repository (Champions M-A Featured Teams!)","","","","","","","","","","","","","","","","","","","","","","326","","","","","Total Creator Count: ","243","","","Teams with Rentals: ","169","","","","","Teams included here:
International/Regional: Day 2
Local: Top 4
Special Online Tour: Top Cut","","Ladder: Top 300 Champions Tier (End of season), Top 100 Peak
Online Tour (200+ Players): Top 16
Online Tour (100+ Players): Top 8
Online Tour: Top 4
","","","","","",""
"PC942","Special Online Tour","Kyle Livinghouse's VR May Challenge #4 Champion Team","🥇","Kyle Livinghouse","","","","Froslassite","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Coba Berry","","","Black Glasses","","https://pokepast.es/0a2c2995d4847552","No","Extracted","X","None","24 May 2026","VR May Challenge #4","Champion","https://x.com/AnimusVGC","-","https://victoryroad.pro/vr-may26-4/","Manual Entry","","Froslass-Mega","Basculegion","Kleavor","Sneasler","Whimsicott","Kingambit","","",""
"PC941","Special Online Tour","Darts' VR May Challenge #4 Runner Up Team","🥈","Christopher H.","","","","Charizardite Y","","","Mystic Water","","","Choice Scarf","","","White Herb","","","Focus Sash","","","Black Glasses","","https://pokepast.es/256f73222000308a","No","Extracted","X","None","25 May 2026","VR May Challenge #4","Runner Up","https://x.com/dartsvg/status/2058607463574765792?s=20","-","https://victoryroad.pro/vr-may26-4/","dartsvg","","Charizard","Basculegion","Kleavor","Sneasler","Whimsicott","Kingambit","","",""
"PC940","Special Online Tour","Kevin Han's VR May Challenge #4 Top 4 Team","🥉","Kevin Han","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/19c42b5655279870","No","Extracted","X","None","24 May 2026","VR May Challenge #4","3rd","No Tweet","-","https://victoryroad.pro/vr-may26-4/","Manual Entry","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC939","Special Online Tour","zeen's VR May Challenge #4 Top 4 Team","🥉","Shohei Kimura","","","","Dragoninite","","","Charizardite Y","","","Sitrus Berry","","","Focus Sash","","","Chople Berry","","","Roseli Berry","","https://pokepast.es/0e8221c173fced57","No","Extracted","X","None","24 May 2026","VR May Challenge #4","4th","https://x.com/zeen172M/status/2058598726328082930","-","https://victoryroad.pro/vr-may26-4/","zeen172M","","Dragonite-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC938","Special Online Tour","Tabu's VR May Challenge #4 Top 8 Team","","Jorge Tabuyo","","","","Delphoxite","","","Floettite","","","Sitrus Berry","","","Focus Sash","","","White Herb","","","Kasib Berry","","https://pokepast.es/a91c1b89af1aa591","No","Extracted","X","None","24 May 2026","VR May Challenge #4","5th","https://x.com/Tabu__24/status/2058588212101107911","-","https://victoryroad.pro/vr-may26-4/","Tabu__24","","Delphox-Mega","Floette-Eternal-Mega","Incineroar","Basculegion","Sneasler","Sinistcha","","",""
"PC937","Special Online Tour","Suwoong Cheong's VR May Challenge #4 Top 8 Team","","Suwoong Cheong","","","","Garchompite","","","Charizardite Y","","","Charcoal","","","Focus Sash","","","Sitrus Berry","","","Fairy Feather","","https://pokepast.es/843893bd169f32d1","No","Extracted","X","None","24 May 2026","VR May Challenge #4","6th","https://x.com/swcheong_vg/status/2058589480878219347","-","https://victoryroad.pro/vr-may26-4/","swcheong_vg","","Garchomp-Mega","Charizard","Incineroar","Aerodactyl","Farigiraf","Sylveon","","",""
"PC936","Special Online Tour","Marcus Blixenkrone-Møller's VR May Challenge #4 Top 8 Team","","Marcus Blixenkrone-Møller","","","","Froslassite","","","Focus Sash","","","Choice Scarf","","","White Herb","","","Fairy Feather","","","Chople Berry","","https://pokepast.es/40a2ff5041acf765","No","Extracted","X","None","24 May 2026","VR May Challenge #4","7th","https://x.com/Joseph_Gambit/status/2058570597328667134","-","https://victoryroad.pro/vr-may26-4/","Joseph_Gambit","","Froslass-Mega","Arcanine-Hisui","Basculegion","Sneasler","Whimsicott","Kingambit","","",""
"PC935","Special Online Tour","Roberto Parente's VR May Challenge #4 Top 8 Team","","Roberto Parente","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Fairy Feather","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/9058e855eb22e5b8","No","Extracted","X","None","24 May 2026","VR May Challenge #4","8th","https://x.com/TrainerRobVGC","-","https://victoryroad.pro/vr-may26-4/","Manual Entry","","Charizard","Basculegion","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC934","Special Online Tour","Fernando Risoto's VR May Challenge #4 Top 16 Team","","Fernando Risoto","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Fairy Feather","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/0f84845fc81e6927","No","Extracted","X","None","24 May 2026","VR May Challenge #4","9th","https://x.com/Shane_VGC/status/2058635143074439583","-","https://victoryroad.pro/vr-may26-4/","Shane_VGC","","Charizard","Basculegion","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC933","Special Online Tour","Donald Smith's VR May Challenge #4 Top 16 Team","","Donald Smith","","","","Scovillainite","","","Tyranitarite","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Sitrus Berry","","https://pokepast.es/7254aad58f14084a","No","Extracted","X","None","24 May 2026","VR May Challenge #4","10th","https://x.com/donaldwsjr","-","https://victoryroad.pro/vr-may26-4/","Manual Entry","","Scovillain-Mega","Tyranitar-Mega","Rotom-Wash","Excadrill","Sneasler","Corviknight","","",""
"PC932","Special Online Tour","LenVGC's VR May Challenge #4 Top 16 Team","","Alex Soto","","","","Gengarite","","","Passho Berry","","","Sitrus Berry","","","Kasib Berry","","","Shuca Berry","","","Leftovers","","https://pokepast.es/73b4daa0a575e649","No","Extracted","X","None","24 May 2026","VR May Challenge #4","11th","https://x.com/LenVGC/status/2058613049335124119","-","https://victoryroad.pro/vr-may26-4/","LenVGC","","Gengar-Mega","Incineroar","Politoed","Sinistcha","Tinkaton","Kommo-o","","",""
"PC931","Special Online Tour","David Carrasco's VR May Challenge #4 Top 16 Team","","David Carrasco","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Sitrus Berry","","","Fairy Feather","","","Soft Sand","","https://pokepast.es/d302042c9def7369","No","Extracted","X","None","24 May 2026","VR May Challenge #4","12th","https://x.com/KevidMC/status/2058597571908468883","-","https://victoryroad.pro/vr-may26-4/","KevidMC","","Aerodactyl-Mega","Charizard","Basculegion","Farigiraf","Sylveon","Garchomp","","",""
"PC876","Special Online Tour","Tota Nambu's VR May Challange #3 Champion Team","🥇","Xena","","","","Dragoninite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Black Glasses","","","Sitrus Berry","","https://pokepast.es/97534c219e370c34","No","Extracted","X","None","17 May 2026","VR May Challenge #3","Champion","https://x.com/Xenagaming248/status/2056072335023919580","-","https://victoryroad.pro/vr-may26-3/","Xenagaming248","","Dragonite-Mega","Charizard","Basculegion","Venusaur","Kingambit","Garchomp","","",""
"PC875","Special Online Tour","Stefano Greppi's VR May Challange #3 Runner Up Team","🥈","Stefano Greppi","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Sitrus Berry","","","Fairy Feather","","","Soft Sand","","https://pokepast.es/755715ef7d9b4f68","No","Extracted","X","None","17 May 2026","VR May Challenge #3","Runner Up","https://x.com/Ssteccaa/status/2056074603047301263","-","https://victoryroad.pro/vr-may26-3/","Ssteccaa","","Aerodactyl-Mega","Charizard","Basculegion","Farigiraf","Sylveon","Garchomp","","",""
"PC874","Special Online Tour","zeen's VR May Challange #3 Top 4 Team","🥉","Shohei Kimura","","","","Floettite","","","Charizardite Y","","","Sitrus Berry","","","Kasib Berry","","","Focus Sash","","","Choice Scarf","","https://pokepast.es/efb3dd316e115f61","No","Extracted","X","None","17 May 2026","VR May Challenge #3","3rd","https://x.com/zeen172M/status/2056062442627797085","-","https://victoryroad.pro/vr-may26-3/","zeen172M","","Floette-Eternal-Mega","Charizard","Incineroar","Sinistcha","Aegislash","Garchomp","","",""
"PC873","Special Online Tour","mintia0810's VR May Challange #3 Top 4 Team","🥉","Kento Sato","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Kebia Berry","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/41a382b76d4c1490","No","Extracted","X","None","17 May 2026","VR May Challenge #3","4th","https://x.com/mintia0810/status/2056073266083868885","-","https://victoryroad.pro/vr-may26-3/","mintia0810","","Charizard","Basculegion","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC872","Special Online Tour","Yanagi's VR May Challange #3 Top 8 Team","","Yosuke Takayanagi","","","","Blastoisinite","","","Kangaskhanite","","","Charcoal","","","Focus Sash","","","Choice Scarf","","","Sitrus Berry","","https://pokepast.es/40532fd5cf243f4a","No","Extracted","X","None","17 May 2026","VR May Challenge #3","5th","https://x.com/yanagiT_poke/status/2056052477200576600","https://x.com/yanagiT_poke/status/2056052783003173273","https://victoryroad.pro/vr-may26-3/","yanagiT_poke","","Blastoise-Mega","Kangaskhan-Mega","Torkoal","Basculegion","Vivillon-Fancy","Farigiraf","","",""
"PC871","Special Online Tour","FedeCampoVGC's VR May Challange #3 Top 8 Team","","Federico Camporesi","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Fairy Feather","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/5e1716c40c245b3f","No","Extracted","X","None","17 May 2026","VR May Challenge #3","6th","https://x.com/FedeCampoVGC/status/2055754321774416328","-","https://victoryroad.pro/vr-may26-3/","FedeCampoVGC","","Charizard","Basculegion","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC870","Special Online Tour","Junhee Lee's VR May Challange #3 Top 8 Team","","Junhee Lee","","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Fairy Feather","","","Chople Berry","","","Sitrus Berry","","https://pokepast.es/245fb3e1c05b4c88","No","Extracted","X","None","17 May 2026","VR May Challenge #3","7th","https://x.com/YurinePTCG","-","https://victoryroad.pro/vr-may26-3/","Manual Entry","","Charizard","Basculegion","Glimmora","Whimsicott","Kingambit","Garchomp","","",""
"PC869","Special Online Tour","Francesco Raga's VR May Challange #3 Top 8 Team","","Francesco Raga","","","","Kangaskhanite","","","Charizardite Y","","","Colbur Berry","","","Focus Sash","","","Sitrus Berry","","","Soft Sand","","https://pokepast.es/20f557ef28960ecc","No","Extracted","X","None","17 May 2026","VR May Challenge #3","8th","https://x.com/Lildarkraivgc","-","https://victoryroad.pro/vr-may26-3/","Manual Entry","","Kangaskhan-Mega","Charizard","Basculegion","Glimmora","Whimsicott","Garchomp","","",""
"PC868","Special Online Tour","Joonki Kim's VR May Challange #3 Top 16 Team","","Joonki Kim","","","","Glimmoranite","","","Charizardite Y","","","Focus Sash","","","Fairy Feather","","","Chople Berry","","","Choice Scarf","","https://pokepast.es/eebef88dcb52d75c","No","Extracted","X","None","17 May 2026","VR May Challenge #3","9th","https://x.com/DessertVGC/status/2056054254234959976","-","https://victoryroad.pro/vr-may26-3/","DessertVGC","","Glimmora-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC867","Special Online Tour","Stephane Giangaspero's VR May Challange #3 Top 16 Team","","Stephane Giangaspero","","","","Aerodactylite","","","Floettite","","","Focus Sash","","","White Herb","","","Chople Berry","","","Black Glasses","","https://pokepast.es/9976607a8a69492e","No","Extracted","X","None","17 May 2026","VR May Challenge #3","10th","https://x.com/SGiangaspero/status/2056045613796475005","-","https://victoryroad.pro/vr-may26-3/","SGiangaspero","","Aerodactyl-Mega","Floette-Eternal-Mega","Basculegion","Sneasler","Maushold","Kingambit","","",""
"PC866","Special Online Tour","Shun's VR May Challange #3 Top 16 Team","","Shun Kato","","","","Lopunnite","","","Focus Sash","","","Choice Scarf","","","Sitrus Berry","","","Fairy Feather","","","Dragon Fang","","https://pokepast.es/a9b0657726946582","Yes","Extracted","✔","UG1C7VAJGT","17 May 2026","VR May Challenge #3","11th","https://x.com/MEak104/status/2056862645538656433","https://meak104.hatenablog.com/entry/2026/05/20/071238","https://victoryroad.pro/vr-may26-3/","MEak104","","Lopunny-Mega","Basculegion","Vivillon","Farigiraf","Sylveon","Dragonite","","",""
"PC715","Special Online Tour","Nirinbo's VR May Challenge #2 Champion Team","🥇","Davide Carrer","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/1a52952ee179797d","No","Extracted","X","None","10 May 2026","VR May Challenge #2","Champion","https://x.com/Nirinbo_VGC/status/2053429179765436608","-","https://victoryroad.pro/vr-may26-2/","Nirinbo_VGC","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC714","Special Online Tour","Mattia's VR May Challenge #2 Runner Up Team","🥈","Mattia","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/9632954d2a7305bc","No","Extracted","X","None","10 May 2026","VR May Challenge #2","Runner Up","https://x.com/MattyiVGC/status/2053431854313722143","-","https://victoryroad.pro/vr-may26-2/","MattyiVGC","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC713","Special Online Tour","FlozelVGC's VR May Challenge #2 Top 4 Team","🥉","Jinho Park","","","","Froslassite","","","Focus Sash","","","Sitrus Berry","","","White Herb","","","Chople Berry","","","Dragon Fang","","https://pokepast.es/7fe3badf203a5e1c","No","Extracted","X","None","10 May 2026","VR May Challenge #2","3rd","https://x.com/FlozelVGC/status/2053427924590846335","-","https://victoryroad.pro/vr-may26-2/","FlozelVGC","","Froslass-Mega","Basculegion","Milotic","Sneasler","Kingambit","Dragonite","","",""
"PC712","Special Online Tour","Yuhi Arima's VR May Challenge #2 Top 4 Team","🥉","Yuhi Arima","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Black Glasses","","","Fairy Feather","","","Soft Sand","","https://pokepast.es/9cbcbcaa4360e208","No","Extracted","X","None","10 May 2026","VR May Challenge #2","4th","https://x.com/U2_arm/status/2053421061681905857","-","https://victoryroad.pro/vr-may26-2/","U2_arm","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC711","Special Online Tour","Stefano Greppi's VR May Challenge #2 Top 8 Team","","Stefano Greppi","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Sitrus Berry","","","Fairy Feather","","","Soft Sand","","https://pokepast.es/6ea1c36800f4b84e","No","Extracted","X","None","10 May 2026","VR May Challenge #2","5th","https://x.com/Ssteccaa","-","https://victoryroad.pro/vr-may26-2/","Manual Entry","","Aerodactyl-Mega","Charizard","Basculegion","Farigiraf","Sylveon","Garchomp","","",""
"PC710","Special Online Tour","Matthew Henry's VR May Challenge #2 Top 8 Team","","Matthew Henry","","","","Floettite","","","Charizardite X","","","Chople Berry","","","Leftovers","","","White Herb","","","Coba Berry","","https://pokepast.es/5bfc8ffd7407fe83","No","Extracted","X","None","10 May 2026","VR May Challenge #2","6th","No Tweet","-","https://victoryroad.pro/vr-may26-2/","Manual Entry","","Floette-Eternal-Mega","Charizard","Incineroar","Milotic","Sneasler","Sinistcha","","",""
"PC709","Special Online Tour","sudoz's VR May Challenge #2 Top 8 Team","","sudoz","","","","Dragoninite","","","Floettite","","","Choice Scarf","","","White Herb","","","Roseli Berry","","","Leftovers","","https://pokepast.es/374287b23334e5bb","No","Extracted","X","None","10 May 2026","VR May Challenge #2","7th","https://x.com/SudozZ/status/2053415861898137623","-","https://victoryroad.pro/vr-may26-2/","SudozZ","","Dragonite-Mega","Floette-Eternal-Mega","Basculegion","Sneasler","Sableye","Archaludon","","",""
"PC708","Special Online Tour","Suwoong Cheong's VR May Challenge #2 Top 8 Team","","Suwoong Cheong","","","","Charizardite Y","","","Chople Berry","","","Sitrus Berry","","","Focus Sash","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/4b8de440eb41120f","No","Extracted","X","None","10 May 2026","VR May Challenge #2","8th","https://x.com/swcheong_vg/status/2053407594090520818","-","https://victoryroad.pro/vr-may26-2/","swcheong_vg","","Charizard","Incineroar","Farigiraf","Aegislash","Sylveon","Garchomp","","",""
"PC707","Special Online Tour","KastyTP's VR May Challenge #2 Top 16 Team","","Guillermo Castilla","","","","Glimmoranite","","","Sharp Beak","","","Magnet","","","Focus Sash","","","Choice Scarf","","","Lum Berry","","https://pokepast.es/8872710ff73c4b3f","Yes","Extracted","✔","1R4U2TA38R","10 May 2026","VR May Challenge #2","9th","https://x.com/_kastytp_/status/2053406700296671589?s=46","-","https://victoryroad.pro/vr-may26-2/","_kastytp_","","Glimmora-Mega","Talonflame","Rotom-Wash","Aegislash","Ninetales-Alola","Garchomp","","",""
"PC706","Special Online Tour","Giancarlo's VR May Challenge #2 Team","","Giancarlo Abiera","","","","Froslassite","","","Sitrus Berry","","","Magnet","","","Focus Sash","","","White Herb","","","Black Glasses","","https://pokepast.es/9973d05b446c57a5","Yes","Extracted","✔","445X6W4CGU","9 May 2026","VR May Challenge #2","53rd","https://x.com/giancarloabiera/status/2053119007172292622?s=46","-","https://victoryroad.pro/vr-may26-2/","giancarloabiera","","Froslass-Mega","Incineroar","Rotom-Wash","Aerodactyl","Sneasler","Kingambit","","",""
"PC582","Special Online Tour","Giulio Tarlao's VR May Challenge #1 Champion Team","🥇","Giulio Tarlao","","","","Scovillainite","","","Tyranitarite","","","Choice Scarf","","","Focus Sash","","","White Herb","","","Leftovers","","https://pokepast.es/9c89d416fc111174","No","Extracted","X","None","3 May 2026","VR May Challenge #1","Champion","No Tweet","-","https://victoryroad.pro/vr-may26/","Manual Entry","","Scovillain-Mega","Tyranitar-Mega","Basculegion","Excadrill","Sneasler","Corviknight","","",""
"PC581","Special Online Tour","Mattia's VR May Challenge #1 Runner Up Team","🥈","Mattia","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Spell Tag","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/813eee5aa4b797b7","No","Extracted","X","None","3 May 2026","VR May Challenge #1","Runner Up","https://x.com/MattyiVGC/status/2050999793330065913","-","https://victoryroad.pro/vr-may26/","MattyiVGC","","Aerodactyl-Mega","Charizard","Basculegion","Aegislash","Sylveon","Garchomp","","",""
"PC580","Special Online Tour","Vincenzo Zugaro's VR May Challenge #1 Top 4 Team","🥉","Vincenzo Zugaro","","","","Floettite","","","Charizardite X","","","Sitrus Berry","","","Focus Sash","","","Colbur Berry","","","Chople Berry","","https://pokepast.es/90998c74f443f48b","No","Extracted","X","None","3 May 2026","VR May Challenge #1","3rd","https://x.com/Vonz99","-","https://victoryroad.pro/vr-may26/","Manual Entry","","Floette-Eternal-Mega","Charizard","Tauros-Paldea-Aqua","Sneasler","Sinistcha","Kingambit","","",""
"PC579","Special Online Tour","Sam Danneker's VR May Challenge #1 Top 4 Team","🥉","Sam Danneker","","","","Aerodactylite","","","Scovillainite","","","Choice Scarf","","","Focus Sash","","","Black Glasses","","","Leftovers","","https://pokepast.es/bacada7f4d9638e7","Yes","Extracted","X","None","3 May 2026","VR May Challenge #1","4th","https://youtu.be/DOUgA0oBJnM","","https://victoryroad.pro/vr-may26/","Manual Entry","","Aerodactyl-Mega","Scovillain-Mega","Basculegion","Pelipper","Kingambit","Archaludon","","",""
"PC578","Special Online Tour","FedeCampoVGC's VR May Challenge #1 Top 8 Team","","Federico Camporesi","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Spell Tag","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/48bbf265f118f16d","No","Extracted","X","None","3 May 2026","VR May Challenge #1","5th","https://x.com/FedeCampoVGC/status/2050977822127034604","-","https://victoryroad.pro/vr-may26/","FedeCampoVGC","","Aerodactyl-Mega","Charizard","Basculegion","Aegislash","Sylveon","Garchomp","","",""
"PC577","Special Online Tour","DomingoVGC's VR May Challenge #1 Top 8 Team","","Damahni Palmer","","","","Aerodactylite","","","Scovillainite","","","Sitrus Berry","","","White Herb","","","Chople Berry","","","Leftovers","","https://pokepast.es/672571727fba49c4","No","Extracted","X","None","3 May 2026","VR May Challenge #1","6th","https://x.com/DmanVGC/status/2050978638820978955","-","https://victoryroad.pro/vr-may26/","DmanVGC","","Aerodactyl-Mega","Scovillain-Mega","Basculegion","Sneasler","Kingambit","Kommo-o","","",""
"PC576","Special Online Tour","Asterios Xougkas' VR May Challenge #1 Top 8 Team","","Asterios Xougkas","","","","Floettite","","","Venusaurite","","","Sitrus Berry","","","Leftovers","","","Focus Sash","","","Choice Scarf","","https://pokepast.es/6b4fb095fd343f1e","No","Extracted","X","None","3 May 2026","VR May Challenge #1","7th","https://x.com/asterisguy/status/2051011709213561330","-","https://victoryroad.pro/vr-may26/","asterisguy","","Floette-Eternal-Mega","Venusaur-Mega","Incineroar","Milotic","Sneasler","Garchomp","","",""
"PC575","Special Online Tour","SeaSoil's VR May Challenge #1 Top 8 Team","","Alessio Piscitelli","","","","Scizorite","","","Venusaurite","","","Chople Berry","","","Choice Scarf","","","Sitrus Berry","","","Leftovers","","https://pokepast.es/50cbad627a62f5ea","No","Extracted","X","None","3 May 2026","VR May Challenge #1","8th","https://x.com/SeaSoilVGC/status/2051031538356060273","-","https://victoryroad.pro/vr-may26/","SeaSoilVGC","","Scizor-Mega","Venusaur-Mega","Incineroar","Basculegion","Pelipper","Archaludon","","",""
"PC574","Special Online Tour","Luca Schianchi's VR May Challenge #1 Top 16 Team","","Luca Schianchi","","","","Dragoninite","","","Scizorite","","","Choice Scarf","","","Mystic Water","","","Focus Sash","","","Leftovers","","https://pokepast.es/971f560b85603f7d","No","Extracted","X","None","3 May 2026","VR May Challenge #1","9th","https://x.com/schianchi_luca","-","https://victoryroad.pro/vr-may26/","Manual Entry","","Dragonite-Mega","Scizor-Mega","Basculegion","Pelipper","Sneasler","Archaludon","","",""
"PC573","Special Online Tour","Benny Vasquez's VR May Challenge #1 Top 16 Team","","Benny Vasquez","","","","Aerodactylite","","","Scovillainite","","","Focus Sash","","","White Herb","","","Black Glasses","","","Never-Melt Ice","","https://pokepast.es/813c80ac1817ec4c","No","Extracted","X","None","3 May 2026","VR May Challenge #1","10th","https://x.com/BennyVGC_","-","https://victoryroad.pro/vr-may26/","Manual Entry","","Aerodactyl-Mega","Scovillain-Mega","Basculegion","Sneasler","Kingambit","Ninetales-Alola","","",""
"PC572","Special Online Tour","Justin's VR May Challenge #1 Top 16 Team","","Justin Cerioni","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Spell Tag","","","Fairy Feather","","","Sitrus Berry","","https://pokepast.es/6a98bc148ffe97b2","No","Extracted","X","None","3 May 2026","VR May Challenge #1","11th","https://x.com/Byte_v24/status/2050980308854415368","-","https://victoryroad.pro/vr-may26/","Byte_v24","","Aerodactyl-Mega","Charizard","Basculegion","Aegislash","Sylveon","Garchomp","","",""
"PC522","Special Online Tour","ragimali's Grand Champions Festival Champion Team","🥇","ragimali","","","","Floettite","","","Charizardite Y","","","Choice Scarf","","","Focus Sash","","","Chople Berry","","","Dragon Fang","","https://pokepast.es/8e98aa5005367f06","Yes","Owner's","✔","H7HM18T977","27 Apr 2026","Grand Champions Festival","Champion","https://x.com/ragimali/status/2049173581968363553","https://youtu.be/9NSAIUH5n5s?si=mmiVVfCDwsDFV1p-","https://play.limitlesstcg.com/tournament/69c30ae236f5b5c303dbce1c/standings","ragimali","","Floette-Eternal-Mega","Charizard","Basculegion","Aerodactyl","Kingambit","Garchomp","","",""
"PC521","Special Online Tour","tdumbreon's Grand Champions Festival Runner Up Team","🥈","tdumbreon","","","","Froslassite","","","Focus Sash","","","Sitrus Berry","","","White Herb","","","Chople Berry","","","Dragon Fang","","https://pokepast.es/6d519d75ac9843bd","Yes","Extracted","✔","8L8QVB7ARU","26 Apr 2026","Grand Champions Festival","Runner Up","https://x.com/tdumbreon/status/2048606842641592813?s=46","-","https://play.limitlesstcg.com/tournament/69c30ae236f5b5c303dbce1c/standings","tdumbreon","","Froslass-Mega","Basculegion","Milotic","Sneasler","Kingambit","Dragonite","","",""
"PC520","Special Online Tour","samrolthomp's Grand Champions Festival Top 4 Team","🥉","samrolthomp","","","","Floettite","","","Charcoal","","","Sitrus Berry","","","Focus Sash","","","Spell Tag","","","White Herb","","https://pokepast.es/ca4084618a5f2e82","No","Extracted","X","None","27 Apr 2026","Grand Champions Festival","3rd","https://x.com/samrolthomp/status/2048791965659959674?s=46","-","https://play.limitlesstcg.com/tournament/69c30ae236f5b5c303dbce1c/standings","samrolthomp","","Floette-Mega","Incineroar","Rotom-Wash","Aerodactyl","Aegislash","Garchomp","","",""
"PC519","Special Online Tour","Santino's Grand Champions Festival Top 4 Team","🥉","Santino Tarquinio","","","","Gengarite","","","Sitrus Berry","","","Focus Sash","","","Chople Berry","","","Never-Melt Ice","","","Dragon Fang","","https://pokepast.es/8eee765dbbfdda3d","Yes","Extracted","✔","3P7HS4304C","26 Apr 2026","Grand Champions Festival","4th","https://x.com/supahsanti/status/2048559938121687370?s=46","-","https://play.limitlesstcg.com/tournament/69c30ae236f5b5c303dbce1c/standings","supahsanti","","Gengar-Mega","Incineroar","Sneasler","Kingambit","Ninetales-Alola","Dragonite","","",""
"PC518","Special Online Tour","Deiv's Grand Champions Festival Top 8 Team","","Davide Fazio","","","","Aerodactylite","","","Scovillainite","","","Sitrus Berry","","","White Herb","","","Chople Berry","","","Leftovers","","https://pokepast.es/a7f00fa85dc02235","Yes","Owner's","✔","U6N086F9B5","26 Apr 2026","Grand Champions Festival","5th","https://x.com/deivvgc/status/2048688290467832016?s=46","-","https://play.limitlesstcg.com/tournament/69c30ae236f5b5c303dbce1c/standings","deivvgc","","Aerodactyl-Mega","Scovillain-Mega","Basculegion","Sneasler","Kingambit","Kommo-o","","",""
"PC517","Special Online Tour","MichaelderBeste's Grand Champions Festival Top 8 Team","","MichaelderBeste","","","","Gengarite","","","Shuca Berry","","","Sitrus Berry","","","Colbur Berry","","","Focus Sash","","","Choice Scarf","","https://pokepast.es/779a09b697acdef4","Yes","Owner's","✔","MW7Y4VSW4J","","Grand Champions Festival","6th","https://www.youtube.com/watch?v=J6UfDJh2O0U","-","https://play.limitlesstcg.com/tournament/69c30ae236f5b5c303dbce1c/standings","Manual Entry","","Gengar-Mega","Incineroar","Rotom-Wash","Aegislash","Ninetales-Alola","Garchomp","","",""
"PC516","Special Online Tour","Liakos' Grand Champions Festival Top 8 Team","","Ilias Roufogalis","","","","Venusaurite","","","Choice Scarf","","","Sitrus Berry","","","Roseli Berry","","","Focus Sash","","","Leftovers","","https://pokepast.es/d466236588ebde30","Yes","Extracted","✔","JTMTYU7JWL","26 Apr 2026","Grand Champions Festival","7th","https://x.com/LiakosRfg/status/2048759419807388014?s=20","-","https://play.limitlesstcg.com/tournament/69c30ae236f5b5c303dbce1c/standings","LiakosRfg","","Venusaur-Mega","Basculegion","Pelipper","Sableye","Kingambit","Archaludon","","",""
"PC515","Special Online Tour","_coke_zer0's Grand Champions Festival Top 8 Team","","_coke_zer0","","","","Kangaskhanite","","","Charizardite Y","","","Charcoal","","","Mystic Water","","","White Herb","","","Sitrus Berry","","https://pokepast.es/eafdca3706c02574","Yes","Extracted","✔","CRJAD76NHD","26 Apr 2026","Grand Champions Festival","8th","https://x.com/_coke_zer0/status/2048523137562595733?s=46","-","https://play.limitlesstcg.com/tournament/69c30ae236f5b5c303dbce1c/standings","_coke_zer0","","Kangaskhan-Mega","Charizard","Torkoal","Primarina","Sneasler","Farigiraf","","",""
